Category: Finance

Week,kartu kredit: (Indonesia),pinjaman online: (Indonesia),pinjaman tanpa kartu kredit: (Indonesia),pinjaman cepat online: (Indonesia)
2020-12-27,90,76,1,7
2021-01-03,87,78,1,8
2021-01-10,84,75,1,7
2021-01-17,89,78,1,7
2021-01-24,86,78,1,8
2021-01-31,93,81,1,7
2021-02-07,85,87,1,8
2021-02-14,86,82,1,7
2021-02-21,90,81,1,7
2021-02-28,95,84,1,6
2021-03-07,85,88,1,7
2021-03-14,82,76,0,7
2021-03-21,85,80,1,6
2021-03-28,83,83,1,8
2021-04-04,84,90,1,7
2021-04-11,85,88,1,7
2021-04-18,83,82,1,6
2021-04-25,84,85,1,7
2021-05-02,81,74,1,5
2021-05-09,62,63,1,4
2021-05-16,79,75,1,6
2021-05-23,75,72,0,6
2021-05-30,81,72,1,6
2021-06-06,77,68,1,5
2021-06-13,73,71,1,5
2021-06-20,76,75,1,7
2021-06-27,73,75,0,5
2021-07-04,68,77,1,7
2021-07-11,63,76,0,6
2021-07-18,68,77,1,6
2021-07-25,66,72,1,7
2021-08-01,68,78,0,6
2021-08-08,62,78,1,6
2021-08-15,60,72,1,6
2021-08-22,66,72,0,5
2021-08-29,64,73,1,7
2021-09-05,63,67,1,5
2021-09-12,52,69,1,6
2021-09-19,60,64,1,5
2021-09-26,61,63,0,5
2021-10-03,64,74,1,5
2021-10-10,65,77,0,5
2021-10-17,62,82,0,6
2021-10-24,64,70,1,5
2021-10-31,62,64,1,5
2021-11-07,63,62,1,5
2021-11-14,62,59,1,5
2021-11-21,65,59,0,4
2021-11-28,66,56,0,4
2021-12-05,62,55,0,3
2021-12-12,65,54,0,5
2021-12-19,71,53,1,4
2021-12-26,65,55,0,5
2022-01-02,76,53,0,4
2022-01-09,74,48,1,4
2022-01-16,67,50,1,4
2022-01-23,73,50,0,3
2022-01-30,74,57,0,5
2022-02-06,68,54,1,5
2022-02-13,66,50,<1,4
2022-02-20,74,54,<1,4
2022-02-27,69,56,0,4
2022-03-06,71,53,<1,3
2022-03-13,67,51,1,5
2022-03-20,71,49,0,4
2022-03-27,70,52,<1,4
2022-04-03,74,56,<1,5
2022-04-10,67,56,<1,4
2022-04-17,72,54,0,4
2022-04-24,75,52,0,3
2022-05-01,59,48,1,4
2022-05-08,73,52,1,4
2022-05-15,68,56,0,5
2022-05-22,69,56,<1,4
2022-05-29,68,58,0,5
2022-06-05,75,61,1,4
2022-06-12,71,64,<1,5
2022-06-19,81,64,0,5
2022-06-26,76,63,1,4
2022-07-03,77,64,0,3
2022-07-10,74,67,0,4
2022-07-17,79,65,0,4
2022-07-24,72,59,1,3
2022-07-31,74,59,<1,4
2022-08-07,67,61,1,4
2022-08-14,68,65,1,3
2022-08-21,72,62,1,4
2022-08-28,71,56,1,3
2022-09-04,73,59,1,4
2022-09-11,70,53,0,3
2022-09-18,74,55,0,4
2022-09-25,69,55,1,4
2022-10-02,70,56,0,4
2022-10-09,69,56,<1,4
2022-10-16,73,57,<1,4
2022-10-23,76,55,0,4
2022-10-30,70,53,0,4
2022-11-06,73,52,0,3
2022-11-13,71,56,0,4
2022-11-20,72,50,0,3
2022-11-27,67,48,<1,3
2022-12-04,67,48,0,3
2022-12-11,74,51,0,4
2022-12-18,80,54,0,4
2022-12-25,78,55,0,4
2023-01-01,81,56,<1,4
2023-01-08,74,55,1,4
2023-01-15,73,57,0,5
2023-01-22,78,56,<1,4
2023-01-29,85,54,1,4
2023-02-05,82,56,0,3
2023-02-12,75,52,<1,3
2023-02-19,86,54,<1,4
2023-02-26,83,56,<1,4
2023-03-05,77,53,1,4
2023-03-12,82,52,0,3
2023-03-19,82,52,0,4
2023-03-26,77,53,<1,3
2023-04-02,77,50,<1,3
2023-04-09,74,47,0,4
2023-04-16,64,39,0,3
2023-04-23,68,41,0,3
2023-04-30,79,49,<1,3
2023-05-07,74,45,<1,3
2023-05-14,73,46,0,3
2023-05-21,79,48,<1,3
2023-05-28,71,50,0,3
2023-06-04,76,45,<1,3
2023-06-11,76,47,0,3
2023-06-18,88,48,<1,3
2023-06-25,75,46,<1,3
2023-07-02,93,48,0,3
2023-07-09,80,47,0,3
2023-07-16,78,49,0,3
2023-07-23,85,45,1,3
2023-07-30,81,46,0,2
2023-08-06,79,43,0,2
2023-08-13,77,47,0,3
2023-08-20,85,47,0,2
2023-08-27,91,46,<1,3
2023-09-03,83,46,0,3
2023-09-10,77,44,0,3
2023-09-17,82,40,0,3
2023-09-24,81,42,0,3
2023-10-01,80,43,0,3
2023-10-08,78,43,<1,2
2023-10-15,89,43,0,3
2023-10-22,90,39,0,3
2023-10-29,84,41,0,3
2023-11-05,80,39,<1,3
2023-11-12,80,40,0,2
2023-11-19,86,42,<1,3
2023-11-26,91,42,0,2
