Category: Finance

Week,yup: (Indonesia),Akulaku: (Indonesia),kartu kredit: (Indonesia),Shopee Paylater: (Indonesia),Kredivo: (Indonesia)
2020-12-27,0,20,90,7,10
2021-01-03,0,17,87,6,9
2021-01-10,0,18,84,5,9
2021-01-17,0,18,89,4,9
2021-01-24,0,17,86,5,10
2021-01-31,0,18,93,6,10
2021-02-07,0,19,85,6,9
2021-02-14,0,17,86,4,9
2021-02-21,0,19,90,5,10
2021-02-28,0,20,95,6,12
2021-03-07,0,19,85,5,11
2021-03-14,0,16,82,4,8
2021-03-21,0,17,85,5,12
2021-03-28,0,18,83,7,10
2021-04-04,0,17,84,6,10
2021-04-11,0,16,85,6,10
2021-04-18,0,16,83,6,9
2021-04-25,0,16,84,7,10
2021-05-02,0,15,81,8,9
2021-05-09,0,13,62,7,8
2021-05-16,0,14,79,8,9
2021-05-23,0,16,75,8,9
2021-05-30,0,16,81,8,9
2021-06-06,0,16,77,7,10
2021-06-13,0,16,73,8,8
2021-06-20,0,20,76,9,9
2021-06-27,0,16,73,9,10
2021-07-04,0,17,68,13,9
2021-07-11,0,17,63,10,8
2021-07-18,0,17,68,8,9
2021-07-25,0,17,66,7,9
2021-08-01,0,17,68,10,10
2021-08-08,0,17,62,10,8
2021-08-15,0,16,60,8,9
2021-08-22,0,18,66,7,9
2021-08-29,0,17,64,8,9
2021-09-05,0,18,63,9,8
2021-09-12,0,15,52,7,8
2021-09-19,0,16,60,9,8
2021-09-26,0,16,61,8,8
2021-10-03,0,16,64,9,8
2021-10-10,0,15,65,10,8
2021-10-17,0,18,62,7,8
2021-10-24,0,16,64,8,9
2021-10-31,0,14,62,9,8
2021-11-07,0,15,63,10,8
2021-11-14,0,14,62,8,7
2021-11-21,0,15,65,9,7
2021-11-28,0,14,66,9,9
2021-12-05,0,14,62,10,8
2021-12-12,0,14,65,8,9
2021-12-19,0,13,71,9,9
2021-12-26,0,15,65,8,8
2022-01-02,0,18,76,11,10
2022-01-09,0,17,74,10,8
2022-01-16,0,14,67,7,8
2022-01-23,0,17,73,9,10
2022-01-30,0,18,74,9,11
2022-02-06,0,15,68,9,8
2022-02-13,0,14,66,8,9
2022-02-20,0,15,74,9,10
2022-02-27,0,16,69,9,11
2022-03-06,0,15,71,8,9
2022-03-13,0,13,67,7,9
2022-03-20,0,15,71,9,9
2022-03-27,0,15,70,7,10
2022-04-03,0,16,74,10,10
2022-04-10,0,15,67,9,10
2022-04-17,0,14,72,8,8
2022-04-24,0,15,75,7,10
2022-05-01,0,13,59,8,9
2022-05-08,0,14,73,7,9
2022-05-15,0,14,68,7,9
2022-05-22,0,15,69,7,10
2022-05-29,0,16,68,8,10
2022-06-05,0,15,75,8,9
2022-06-12,<1,15,71,6,10
2022-06-19,0,16,81,7,10
2022-06-26,0,17,76,7,12
2022-07-03,0,16,77,8,10
2022-07-10,0,16,74,7,9
2022-07-17,0,15,79,7,9
2022-07-24,0,15,72,7,10
2022-07-31,0,16,74,6,10
2022-08-07,0,15,67,7,8
2022-08-14,0,15,68,6,9
2022-08-21,<1,15,72,6,9
2022-08-28,0,16,71,6,9
2022-09-04,1,15,73,6,9
2022-09-11,<1,13,70,5,7
2022-09-18,0,13,74,6,9
2022-09-25,0,15,69,6,8
2022-10-02,0,14,70,6,8
2022-10-09,1,13,69,6,8
2022-10-16,0,11,73,5,8
2022-10-23,0,13,76,6,8
2022-10-30,<1,15,70,6,8
2022-11-06,0,14,73,5,8
2022-11-13,1,14,71,5,8
2022-11-20,1,13,72,5,7
2022-11-27,<1,13,67,5,8
2022-12-04,<1,12,67,5,7
2022-12-11,0,13,74,4,7
2022-12-18,0,16,80,4,8
2022-12-25,0,16,78,5,8
2023-01-01,0,15,81,5,9
2023-01-08,<1,15,74,4,8
2023-01-15,0,14,73,3,8
2023-01-22,0,15,78,5,9
2023-01-29,0,16,85,4,8
2023-02-05,0,15,82,5,8
2023-02-12,0,14,75,4,8
2023-02-19,<1,16,86,5,8
2023-02-26,0,15,83,5,9
2023-03-05,0,15,77,4,8
2023-03-12,<1,12,82,4,8
2023-03-19,0,14,82,4,8
2023-03-26,0,15,77,5,9
2023-04-02,0,15,77,5,9
2023-04-09,0,14,74,4,8
2023-04-16,0,11,64,3,6
2023-04-23,<1,13,68,4,7
2023-04-30,0,14,79,4,8
2023-05-07,0,13,74,4,7
2023-05-14,0,13,73,4,7
2023-05-21,<1,14,79,4,7
2023-05-28,0,14,71,5,8
2023-06-04,<1,14,76,5,8
2023-06-11,0,13,76,4,7
2023-06-18,0,13,88,4,8
2023-06-25,0,14,75,5,8
2023-07-02,0,15,93,4,8
2023-07-09,0,12,80,5,7
2023-07-16,0,14,78,4,7
2023-07-23,0,14,85,4,8
2023-07-30,<1,13,81,4,8
2023-08-06,0,13,79,4,7
2023-08-13,0,12,77,4,7
2023-08-20,0,13,85,5,8
2023-08-27,0,14,91,5,9
2023-09-03,0,13,83,4,8
2023-09-10,<1,11,77,4,7
2023-09-17,0,12,82,4,6
2023-09-24,0,13,81,5,9
2023-10-01,0,13,80,4,8
2023-10-08,0,12,78,5,7
2023-10-15,<1,11,89,4,7
2023-10-22,0,13,90,5,8
2023-10-29,0,14,84,5,8
2023-11-05,0,12,80,5,8
2023-11-12,0,10,80,4,6
2023-11-19,<1,12,86,4,8
2023-11-26,1,12,91,5,8
2023-12-03,1,11,86,4,8
2023-12-10,0,12,83,4,8
2023-12-17,1,11,89,4,7
2023-12-24,0,12,84,5,8
2023-12-31,<1,12,90,5,9
2024-01-07,1,12,86,4,7
2024-01-14,<1,10,87,4,9
2024-01-21,<1,11,83,4,8
2024-01-28,0,11,95,4,9
2024-02-04,1,10,83,3,7
2024-02-11,1,8,77,2,7
2024-02-18,1,9,91,3,8
2024-02-25,1,10,87,4,9
2024-03-03,1,8,83,3,7
2024-03-10,1,9,79,3,8
2024-03-17,1,8,81,3,7
2024-03-24,0,9,84,4,7
2024-03-31,0,9,82,3,9
2024-04-07,0,6,51,2,6
2024-04-14,0,7,74,3,7
2024-04-21,0,8,73,3,6
2024-04-28,1,8,73,3,7
2024-05-05,0,8,72,3,6
2024-05-12,0,7,73,2,6
2024-05-19,0,8,73,3,7
2024-05-26,1,8,77,3,7
2024-06-02,0,9,79,3,7
2024-06-09,1,8,77,3,7
2024-06-16,0,8,77,2,6
2024-06-23,1,8,86,3,7
2024-06-30,1,9,89,3,8
2024-07-07,0,9,85,3,6
2024-07-14,1,8,84,3,6
2024-07-21,0,8,83,3,6
2024-07-28,0,8,80,3,8
2024-08-04,0,8,82,3,8
2024-08-11,0,6,79,2,6
2024-08-18,0,7,78,4,7
2024-08-25,0,7,79,3,7
2024-09-01,0,6,77,3,6
2024-09-08,1,7,78,3,7
2024-09-15,0,6,78,3,6
2024-09-22,0,8,79,3,7
2024-09-29,1,8,80,4,8
2024-10-06,0,7,100,3,7
2024-10-13,1,6,82,3,7
2024-10-20,0,7,78,3,6
2024-10-27,0,8,83,3,8
2024-11-03,0,8,79,3,8
2024-11-10,0,7,79,3,6
2024-11-17,0,7,75,3,7
2024-11-24,1,8,76,3,8
2024-12-01,1,9,78,3,7
2024-12-08,0,7,78,3,7
2024-12-15,0,8,79,3,7
2024-12-22,1,9,80,3,8
2024-12-29,1,8,82,3,7
2025-01-05,1,11,80,2,8
2025-01-12,0,8,84,2,7
2025-01-19,1,8,85,4,7
2025-01-26,1,8,73,3,8
2025-02-02,0,9,86,3,10
2025-02-09,0,7,80,2,7
2025-02-16,0,6,79,3,8
2025-02-23,1,9,76,3,7
2025-03-02,1,7,79,2,8
2025-03-09,0,6,77,2,7
2025-03-16,1,7,77,3,7
2025-03-23,0,7,78,2,7
2025-03-30,0,5,57,2,5
2025-04-06,1,5,76,3,6
2025-04-13,1,7,72,2,7
2025-04-20,0,6,77,3,7
2025-04-27,0,6,75,3,8
2025-05-04,0,6,74,3,7
2025-05-11,0,7,69,2,7
2025-05-18,0,6,75,3,6
2025-05-25,1,6,71,3,7
2025-06-01,0,6,73,3,8
2025-06-08,1,6,74,2,7
2025-06-15,1,6,71,2,6
2025-06-22,1,6,73,2,8
2025-06-29,1,8,76,2,8
2025-07-06,1,8,76,2,7
2025-07-13,1,6,75,2,7
2025-07-20,1,6,79,2,8
2025-07-27,1,6,75,3,8
2025-08-03,1,6,70,2,7
2025-08-10,1,6,73,2,6
2025-08-17,1,7,72,3,8
2025-08-24,1,7,64,2,7
2025-08-31,1,7,65,2,7
2025-09-07,1,6,64,3,7
2025-09-14,1,6,66,2,7
2025-09-21,1,7,69,2,8
2025-09-28,1,8,74,3,6
2025-10-05,1,7,69,2,6
2025-10-12,1,6,69,2,7
2025-10-19,1,7,72,3,7
2025-10-26,1,7,68,3,8
2025-11-02,1,6,70,2,6
2025-11-09,1,7,69,3,8
2025-11-16,1,7,69,2,8
2025-11-23,1,8,70,2,8
2025-11-30,1,8,68,3,9
2025-12-07,1,6,65,2,8
2025-12-14,1,7,66,2,8
2025-12-21,1,7,64,3,7
2025-12-28,1,7,64,3,9
